,experiment,clip,effort_0.01,effort_0.02,effort_0.03,effort_0.04,effort_0.05,effort_0.06,effort_0.07,effort_0.08,effort_0.09,effort_0.1,effort_0.11,effort_0.12,effort_0.13,effort_0.14,effort_0.15,effort_0.16,effort_0.17,effort_0.18,effort_0.19,effort_0.2,effort_0.21,effort_0.22,effort_0.23,effort_0.24,effort_0.25,effort_0.26,effort_0.27,effort_0.28,effort_0.29,effort_0.3,effort_0.31,effort_0.32,effort_0.33,effort_0.34,effort_0.35,effort_0.36,effort_0.37,effort_0.38,effort_0.39,effort_0.4,effort_0.41,effort_0.42,effort_0.43,effort_0.44,effort_0.45,effort_0.46,effort_0.47,effort_0.48,effort_0.49,effort_0.5,effort_0.51,effort_0.52,effort_0.53,effort_0.54,effort_0.55,effort_0.56,effort_0.57,effort_0.58,effort_0.59,effort_0.6,effort_0.61,effort_0.62,effort_0.63,effort_0.64,effort_0.65,effort_0.66,effort_0.67,effort_0.68,effort_0.69,effort_0.7,effort_0.71,effort_0.72,effort_0.73,effort_0.74,effort_0.75,effort_0.76,effort_0.77,effort_0.78,effort_0.79,effort_0.8,effort_0.81,effort_0.82,effort_0.83,effort_0.84,effort_0.85,effort_0.86,effort_0.87,effort_0.88,effort_0.89,effort_0.9,effort_0.91,effort_0.92,effort_0.93,effort_0.94,effort_0.95,effort_0.96,effort_0.97,effort_0.98,effort_0.99,effort_1.0
12,2,video3,3854.143703790407,3385.5872206841045,3108.118607730421,2909.719498805381,2754.946299507259,2627.9112520550552,2520.0983951174,2426.40449768761,2343.526949768793,2269.2042644209328,2201.819314306373,2140.1753517225,2083.361676298376,2030.6690489984617,1981.5342529040352,1935.5025165227207,1892.201306239603,1851.3215926441217,1812.6041692311007,1775.8294708860778,1740.809869367138,1707.383755699955,1675.4109338629728,1644.7689916366623,1615.3504098221156,1587.060236485106,1559.814198595341,1533.5371558615368,1508.1618249023118,1483.6277189113698,1459.8802605371825,1436.8700350733498,1414.552158127573,1392.8857373234998,1371.8334117284858,1351.360955908634,1331.4369380187202,1312.032423307051,1293.1207159789396,1274.677133609803,1256.678809300572,1239.1045175767997,1221.934520689961,1205.1504325155586,1188.7350976830176,1172.6724839351732,1156.9475860156922,1141.546339633097,1126.455544258658,1111.662793690994,1097.1564134676055,1082.9254043281755,1068.9593910403878,1055.2485759887727,1041.7836970040007,1028.555988975721,1015.5571488484146,1002.7793036485828,990.2149812332676,977.8570834865212,965.6988617217814,953.7338940757644,941.9560647032037,930.3595446030872,918.9387739248472,907.6884456196684,896.6034903157783,885.6790623094103,874.9105265740125,864.2934467000367,853.8235736865429,843.4968355132146,833.3093274285196,823.2573028957195,813.3371651439883,803.54545927664,793.8788648929494,784.3341891840345,774.908360466508,765.5984221211446,756.4015269064078,747.3149316193483,738.3359920786853,729.4621584070185,720.6909705910082,712.0200543000783,703.4471169457709,694.96994396529,686.5863953141583,678.2944021539286,670.0919637221239,661.9771443724908,653.9480707744993,646.0029292620345,638.139963321696,630.3574712120519,622.6538037057305,615.02736194678,607.4765954163292,600.0
13,2,video7,641.5170885469839,625.3530157448677,618.6851422327873,615.5875261323381,614.3001614353165,614.0754515905734,614.5319762892758,615.4516067205182,616.6994026148965,618.1869416820805,619.8536771428817,621.6566851630997,623.5646695121773,625.5542783934582,627.6077480279497,629.7113429493793,631.8542933756391,634.0280530059413,636.2257692827634,638.44189804693,640.6719184765847,642.9121190300381,645.1594345344082,647.4113206904874,649.6656563354899,651.9206665618158,654.1748616887778,656.4269884129757,658.6759904063489,660.9209763095396,663.1611935624037,665.3960068774738,667.6248804330739,669.8473630663578,672.0630759009608,674.2717019620281,676.4729774224656,678.6666841949453,680.8526436395648,683.0307112005908,685.2007718202592,687.3627360051084,689.5165364423816,691.6621250818025,693.7994706124246,695.9285562759607,698.0493779675746,700.1619425829819,702.2662665771768,704.3623747054725,706.4502989219907,708.5300774144602,710.6017537572773,712.6653761674079,714.7209968498859,716.7686714215392,718.8084584031325,720.8404187714495,722.8646155639865,724.88111352989,726.8899788215986,728.8912787223759,730.8850814055259,732.8714557216085,734.8504710104312,736.8221969350006,738.7867033349353,740.7440600971636,742.6943370419785,744.6376038227439,746.5739298377543,748.5033841529128,750.4260354340548,752.3419518878698,754.2512012104849,756.1538505428975,758.0499664325155,759.9396148001445,761.8228609118553,763.6997693551896,765.5704040192566,767.4348280782921,769.2931039783152,771.1452934265474,772.9914573832925,774.8316560560143,776.6659488953669,778.4943945929737,780.3170510807377,782.1339755315448,783.9452243611662,785.7508532312467,787.5509170532441,789.3454699932,791.1345654772506,792.9182561977805,794.6965941201317,796.4696304898066,798.2374158400837,800.0
14,2,video12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2,video4,216.23532076019825,217.6751318660784,218.52666680182608,219.1350419859924,219.6093508942405,219.99846390646627,220.3285630441154,220.6153316917208,220.8689160427328,221.0962617055877,221.3023339788374,221.49080653304367,221.6644743496768,221.82551368293355,221.97565240971016,222.1162854716796,222.248555375756,222.37340972831456,222.4916432465016,222.60392901835547,222.7108421547294,222.81287795333893,222.91046603613228,223.00398148635665,223.0937537187708,223.1800736153662,223.2631993185273,223.3433609739409,223.42076464388265,223.4955955592397,223.568020840056,223.6381917855954,223.70624581320487,223.7723081087247,223.83649303848705,223.89890536309449,223.9596412854793,224.01878935968915,224.07643128204728,224.13264258250595,224.1874932309404,224.2410481706464,224.293367789292,224.34450833592444,224.39452229128747,224.4434586975873,224.4913634529255,224.5382795748492,224.58424743682733,224.62930498092737,224.6734879095089,224.7168298583748,224.7593625534903,224.8011159531092,224.84211837690864,224.88239662353152,224.9219760777661,224.9608808084394,224.9991336579739,225.03675632444708,225.0737694368933,225.1101926245072,225.14604458033048,225.1813431199428,225.2161052356204,225.25034714637525,225.28408434424625,225.31733163717425,225.35010318875885,225.38241255516644,225.41427271942968,225.44569612335795,225.4766946972552,225.50727988762367,225.5374626830161,225.5672536381802,225.59666289663423,225.6257002117885,225.65437496672908,225.68269619275992,225.71067258679943,225.7383125277126,225.76562409165768,225.7926150665172,225.8192929654782,225.84566503982188,225.87173829097588,225.89751948188143,225.9230151477201,225.9482316060436,225.97317496634668,225.99785113911813,226.02226584440504,226.0464246199204,226.0703328287234,226.0939956664997,226.1174181684655,226.1406052159183,226.1635615424578,226.18629173989456
16,2,video1,983.5723578416386,929.5643161147708,897.391060807829,874.2985777993441,856.2330126863918,841.3717063602305,828.7354365533284,788.8909053632192,780.4306390243516,772.8347550660469,765.940626414065,759.6277767633228,753.8044397392359,748.3990874454513,743.3548732918842,738.6258623322007,734.1744001960391,729.9692310512578,725.9841222532367,722.1968401973605,718.5883748850221,715.1423440126715,711.8445288700333,708.6825085110768,705.645368217963,702.7234648425983,699.908236197388,697.1920449223699,694.5680495998198,692.0300975972489,689.5726353822649,687.1906329954517,684.8795200787554,682.6351313987802,680.453660220978,678.3316182137714,676.265800814012,674.2532571839517,672.2912640474345,670.3773028187971,668.5090395389245,666.68430721452,664.9010902229063,663.1575104988075,661.4518152639864,659.7823660972695,658.1476291728197,656.5461665198247,654.9766281778312,653.4377451397063,651.9283229890997,650.447236151887,648.9934226917743,647.5658795893421,646.1636584515586,644.7858616054679,643.4316385354474,642.1001826283801,640.7907281952942,639.5025477417563,638.2349494624564,636.9872749382263,635.7588970161576,634.5492178556076,633.3576671247346,632.1837003338492,631.0267972932966,629.8864606848588,628.7622147367842,627.6536039935397,626.5601921722745,625.4815610987481,624.4173097161813,623.3670531611097,622.3304219008741,621.3070609278681,620.2966290061172,619.2987979661661,618.3132520445852,617.3396872647605,616.377810855902,615.4273407074679,614.4880048564459,613.559541005139,612.6416960673098,611.7342257406931,610.8368941040627,609.9494732371761,609.0717428620591,608.2034900041955,607.3445086723248,606.4945995556193,605.6535697371271,604.821232422446,603.9974066826546,603.1819172106209,602.374594089857,601.5752725751498,600.7837928842569,600.0
17,2,video9,4658.193611190663,4084.443010882343,3743.044081265338,3498.179288219051,3306.7188200049186,3149.2827165646167,3015.463867336928,2899.01628395872,2795.892592643895,2703.3182091425065,2619.3071267599744,2542.3882930229606,2471.4413551946564,2405.593148336341,2344.149800973505,2286.550684656357,2232.3362759674174,2181.1251699776044,2132.5972836903625,2086.4813496162824,2042.545447264762,2000.5897272550085,1960.440745171864,1921.9469955138263,1884.9753528362733,1849.4082073867123,1815.141138561401,1782.0810092795268,1750.144392999957,1705.1489699860049,1675.6169966664602,1646.9930110946134,1619.2219827369838,1592.253761246959,1566.0425146156092,1540.546246030257,1515.7263765579246,1491.5473831673662,1467.9764835029614,1444.9833603403877,1422.5399198711705,1400.6200789470618,1379.199577214259,1358.255810719737,1337.7676841078046,1317.7154789666995,1298.080736250749,1278.846151008487,1259.995477901255,1241.5134462105086,1223.385683211743,1205.5986449447928,1188.1395535391443,1170.996340362764,1154.1575943561215,1137.612514993722,1121.350869383839,1105.3629530769863,1089.6395542042617,1074.1719206116272,1058.951729694296,1043.9710606691356,1029.2223690521182,1014.6984631335602,1000.3924822660988,986.2978768002638,972.4083895196392,958.7180384430044,945.2211008743284,931.912098593303,918.7857840900066,905.8371277563512,893.0613059555677,880.4536898984294,868.009835261571,855.7254724891709,843.5964977246539,831.6189643240332,819.7890749063793,808.1031739013688,796.5577405568397,785.1493823727783,771.6471781152882,760.6459579829457,749.7707235207995,739.0185742745114,728.3867093391207,717.8724228431772,707.4730996865103,697.1862115146114,687.0093129140902,676.9400378147899,666.9760960851337,657.1152703085121,647.3554127291233,637.694442356777,628.1303422207886,618.6611567638221,609.2849893672403,600.0
18,2,video10,6524.187177127503,5653.644156632439,5124.783743685902,4775.9298897351255,4502.7264699740335,4277.789239234852,4086.393467487954,3890.846934417096,3744.3856460704073,3612.8143628926864,3493.33786443512,3383.8844112342367,3282.875271603327,3189.0793955833524,3101.518044356956,3019.4000723611907,2942.076741332323,2849.1160188892027,2780.45937758189,2715.1931468793014,2652.9923112839147,2593.576712589964,2536.703135963756,2482.159070349106,2429.75773492443,2379.334075038329,2330.741509116928,2283.849263456996,2238.540171726332,2194.7088451106347,2152.2601405508763,2111.107870573839,2071.1737103389214,2032.3862667587805,1994.6802816521777,1957.9959463934983,1922.2783098268687,1887.476764601472,1853.54459977148,1820.4386096495048,1788.1187506243475,1756.5478390462545,1715.73198700979,1685.8244496458883,1656.5631849470292,1627.9203143282416,1599.8697360297751,1572.3869768179286,1545.4490588682943,1519.0343800018354,1493.1226056959615,1467.694571506829,1442.7321947195012,1418.218394197302,1394.1370175325228,1370.472774714034,1347.2111776233069,1324.3384847546577,1301.8416506265598,1279.708279413996,1257.9265823855276,1236.4853387761657,1215.373859767956,1194.5819552865737,1174.0999033533094,1153.9184217598674,1134.0286418575636,1114.4220842741172,1095.0906363901888,1076.0265314245598,1057.2223289920585,1038.6708970111654,1020.3653948502956,1002.299257612416,984.4661814666462,966.8601099442952,949.4752211239664,932.3059156376188,915.346805434761,898.5927032483806,882.0386127102347,865.6797190682594,849.5113804623584,833.529119718834,817.7286166267777,802.1057006628923,786.6563441336484,771.3766557065604,756.2628743041619,741.3113633366621,726.5186052508483,711.8811963747169,697.3958420386728,683.0593519557656,668.8686358445076,654.8206992791829,640.9126397536465,627.1416429453857,613.5049791679074,600.0
19,2,video11,790.0145330169134,753.514505670226,731.9212506660579,716.4913328438042,704.4601647618103,694.589093256287,686.2144354550021,678.9385975491117,672.5043397958611,666.7355557891867,661.5063424700253,656.7235431216641,652.3162794028574,648.2293609929507,644.4189668052886,640.8497181242068,637.4926375548322,634.3236902180868,631.3227184999953,628.4726493863918,625.7588947017082,623.1688904956395,620.6917385310551,618.3179238502237,616.0390898227522,613.847857176893,611.7376770763849,609.702710830781,607.7377306447763,605.8380371372863,603.9993903391625,602.2179516084002,600.4902344523193,598.8130626654754,597.1835345142606,595.5989919489094,594.0569940186583,592.5552938193739,591.0918184246166,589.664651348219,588.2720171643634,586.9122679741145,585.5838714584623,584.2854002996698,583.0155227869573,581.7729944508095,580.5566505935501,579.3653996033142,578.1982169547787,577.0541398136567,575.9322621734366,574.8317304625346,573.7517395682637,572.6915292310193,571.6503807680331,570.6276140911885,569.6225849877517,568.6346826366787,567.6633273364014,566.707968422839,565.768082358823,564.8431709782647,563.9327598702578,563.0363968899348,562.1536507843191,561.2841099226764,560.4273811219612,559.583088558938,558.750872761404,557.9303896717053,557.1213097764204,556.3233172966673,555.5361094340374,554.7593956676282,553.9928970980748,553.2363458348547,552.48948442348,551.7520653095096,551.0238503365593,550.3046102757669,549.5941243843686,548.8921799912507,548.1985721075237,547.51310306032,546.8355821481815,546.1658253165186,545.503654851756,544.8488990928863,544.2013921592597,543.5609736935185,542.9274886186803,542.3007869084433,541.6807233698557,541.0671574375684,540.4599529789236,539.858978109213,539.2641050164692,538.6752097952066,538.0921722885682,537.5148759383737
20,2,video8,5232.579980457432,4667.38902368177,4320.835525812501,4047.794828851138,3863.051255847032,3709.88929576049,3578.727217451985,3463.873534619779,3361.3935533366976,3268.984437856288,3184.819293287208,3094.599258639635,3023.5822602479384,2957.547147711338,2895.84553646176,2859.162488409316,2792.9268139554733,2741.095474777536,2691.989774131897,2645.3490368364,2609.219074263532,2566.5999622773497,2525.870579753948,2486.8817512556434,2449.5017858021893,2420.6337603480165,2385.9151511006803,2352.498336229861,2320.298633287375,2289.239493369233,2265.232481101189,2236.06768518588,2207.858410641804,2180.551358314349,2154.09752369576,2128.451720786159,2103.572169762595,2079.420138369216,2055.959628757156,2033.1571029533936,2010.9812413040024,1989.4027291804853,1968.394068005168,1947.929407278477,1927.9843948067733,1908.536042761372,1889.5626067671776,1871.043570831324,1846.142514461984,1599.63944498725,1572.2739526815544,1546.0420528440509,1524.695133432067,1504.194409119182,1488.0810368118134,1469.0935455356134,1454.2379467770384,1439.9328216503245,1429.3123049436097,1415.9639690400122,1403.1247076953064,1393.6359493547438,1384.4403943230411,1372.864633810877,1364.3252226861923,1356.0557954076066,1348.0497186314883,1340.3006313107317,1332.8024294713491,1325.5643559672687,1318.549400098423,1311.7684856745434,1305.2164025103905,1298.8881358066783,1292.778856135673,1288.5260204662504,1282.762908433874,1277.2063032472447,1273.263009422977,1268.031833273854,1264.2575700084749,1259.339759920692,1254.6105778193896,1251.1107402369316,1246.677416203922,1243.326702015285,1239.1790180254595,1235.970731446303,1232.099083509975,1229.0269730818172,1225.987651236532,1222.4805405129248,1219.569468678818,1216.3174364045835,1213.5292846285945,1210.7693127347084,1207.8542470429993,1205.2104379433024,1202.5925261239431,1200.0
21,2,harm_moving_moving,1488.6185686618755,1331.1447584073464,1252.3347181494514,1192.890026380469,1148.208581034583,1092.3708458874507,1067.7493754376085,1046.354760516926,1027.4318124778683,1010.4634882385294,995.080113671292,981.0081457007597,968.039446089909,956.0119359953908,944.796917893146,934.2904831831556,924.4075200116904,915.077430287908,906.241002033178,897.8480819719242,889.8558144598749,873.2469301382786,866.2089943537167,859.4640508928348,852.9884187610885,846.7611857985928,840.7637925303056,834.9796914430857,829.3940658476008,823.9935962354555,818.7662648114725,813.7011909481511,808.7884918684284,804.0191640502183,799.3849817586099,794.8784098188568,790.4925282956679,786.2209671791524,782.057849522355,777.9977417502976,774.0356100811384,770.1667821783747,766.3869132977504,762.6919563107643,759.0781350836414,755.5419207706418,752.0800106467822,744.2908161212623,741.0907660678404,737.953880679956,734.87768501208,731.8598472976937,728.898168095245,725.9905704445338,723.1350909226298,720.3298715024051,717.5731521286939,714.8632639374639,712.1986230522364,709.5777248997565,706.9991389935572,704.4615041399434,701.9635240259546,699.5039631533467,697.0816430865007,694.6954389855952,692.3442763993969,690.0271282946642,687.7430123015021,685.4909881560887,683.2701553240419,681.0796507893023,678.9186469948894,676.7863499231661,674.6819973044326,672.6048569436562,670.5542251561267,668.5294253036285,666.5298064234566,664.5547419433119,662.6036284756868,660.6758846859107,658.7709502285215,656.8882847470529,655.0273669327737,653.1876936382394,651.3687790418744,649.5701538600874,647.7913646037273,646.0319728758966,644.2915547084015,642.5696999343165,640.8660115943117,638.8056028667037,637.2011042262945,635.6130053198203,634.040970007984,632.4846724198514,630.9437965380778,629.418035804882
